DateTime,Parent_ID,Site_ID,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation,cleaned_DO
2022-07-27T03:00:00Z,SSS039,S37,3.38,15.891,9.012,98.179,9.012
2022-07-27T03:15:00Z,SSS039,S37,3.38,15.831,9.017,98.099,9.017
2022-07-27T03:30:00Z,SSS039,S37,3.38,15.712,9.053,98.244,9.053
2022-07-27T03:45:00Z,SSS039,S37,3.38,15.66,9.058,98.173,9.058
2022-07-27T04:00:00Z,SSS039,S37,3.38,15.566,9.072,98.114,9.072
2022-07-27T04:15:00Z,SSS039,S37,3.38,15.515,9.082,98.117,9.082
2022-07-27T04:30:00Z,SSS039,S37,3.38,15.463,9.105,98.252,9.105
2022-07-27T04:45:00Z,SSS039,S37,3.38,15.386,9.132,98.378,9.132
2022-07-27T05:00:00Z,SSS039,S37,3.38,15.318,9.161,98.551,9.161
2022-07-27T05:15:00Z,SSS039,S37,3.38,15.257,9.194,98.737,9.194
2022-07-27T05:30:00Z,SSS039,S37,3.38,15.24,9.232,99.107,9.232
2022-07-27T05:45:00Z,SSS039,S37,3.38,15.197,9.274,99.457,9.274
2022-07-27T06:00:00Z,SSS039,S37,3.38,15.189,9.297,99.684,9.297
2022-07-27T06:15:00Z,SSS039,S37,3.38,15.154,9.353,100.181,9.353
2022-07-27T06:30:00Z,SSS039,S37,3.38,15.18,9.36,100.32,9.36
2022-07-27T06:45:00Z,SSS039,S37,3.38,15.172,9.347,100.177,9.347
2022-07-27T07:00:00Z,SSS039,S37,3.38,15.172,9.354,100.263,9.354
2022-07-27T07:15:00Z,SSS039,S37,3.38,15.18,9.382,100.601,9.382
2022-07-27T07:30:00Z,SSS039,S37,3.38,15.214,9.381,100.618,9.381
2022-07-27T07:45:00Z,SSS039,S37,3.37,15.283,9.373,100.703,9.373
2022-07-27T08:00:00Z,SSS039,S37,3.37,15.335,9.375,100.823,9.375
2022-07-27T08:15:00Z,SSS039,S37,3.37,15.403,9.369,100.918,9.369
2022-07-27T08:30:00Z,SSS039,S37,3.37,15.498,9.387,101.288,9.387
2022-07-27T08:45:00Z,SSS039,S37,3.37,15.575,9.438,102,9.438
2022-07-27T09:00:00Z,SSS039,S37,3.37,15.694,9.432,102.216,9.432
2022-07-27T09:15:00Z,SSS039,S37,3.38,15.806,9.452,102.696,9.452
2022-07-27T09:30:00Z,SSS039,S37,3.38,16.011,9.424,102.824,9.424
2022-07-27T09:45:00Z,SSS039,S37,3.37,16.156,9.387,102.778,9.387
2022-07-27T10:00:00Z,SSS039,S37,3.37,16.292,9.382,103.008,9.382
2022-07-27T10:15:00Z,SSS039,S37,3.37,16.437,9.355,103.044,9.355
2022-07-27T10:30:00Z,SSS039,S37,3.37,16.691,9.293,102.93,9.293
2022-07-27T10:45:00Z,SSS039,S37,3.37,16.725,9.271,102.788,9.271
2022-07-27T11:00:00Z,SSS039,S37,3.38,16.887,9.298,103.428,9.298
2022-07-27T11:15:00Z,SSS039,S37,3.37,17.2,9.253,103.627,9.253
2022-07-27T11:30:00Z,SSS039,S37,3.37,17.471,9.2,103.639,9.2
2022-07-27T11:45:00Z,SSS039,S37,3.37,17.707,9.159,103.704,9.159
2022-07-27T12:00:00Z,SSS039,S37,3.37,17.935,9.1,103.549,9.1
2022-07-27T12:15:00Z,SSS039,S37,3.37,18.137,9.056,103.465,9.056
2022-07-27T12:30:00Z,SSS039,S37,3.37,18.365,9.028,103.642,9.028
2022-07-27T12:45:00Z,SSS039,S37,3.37,18.651,9,103.929,9
2022-07-27T13:00:00Z,SSS039,S37,3.37,18.928,8.955,104.009,8.955
2022-07-27T13:15:00Z,SSS039,S37,3.37,19.113,8.943,104.272,8.943
2022-07-27T13:30:00Z,SSS039,S37,3.37,19.305,8.897,104.173,8.897
2022-07-27T13:45:00Z,SSS039,S37,3.37,19.641,8.872,104.573,8.872
2022-07-27T14:00:00Z,SSS039,S37,3.37,20.018,8.794,104.447,8.794
2022-07-27T14:15:00Z,SSS039,S37,3.37,20.244,8.699,103.812,8.699
2022-07-27T14:30:00Z,SSS039,S37,3.37,20.428,8.644,103.584,8.644
2022-07-27T14:45:00Z,SSS039,S37,3.37,20.545,8.594,103.207,8.594
2022-07-27T15:00:00Z,SSS039,S37,3.37,20.678,8.55,102.943,8.55
2022-07-27T15:15:00Z,SSS039,S37,3.37,20.812,8.508,102.728,8.508
2022-07-27T15:30:00Z,SSS039,S37,3.37,20.921,8.468,102.474,8.468
2022-07-27T15:45:00Z,SSS039,S37,3.37,20.963,8.419,102.006,8.419
2022-07-27T16:00:00Z,SSS039,S37,3.37,20.954,8.404,101.864,8.404
2022-07-27T16:15:00Z,SSS039,S37,3.37,20.954,8.382,101.512,8.382
2022-07-27T16:30:00Z,SSS039,S37,3.37,20.929,8.373,101.336,8.373
2022-07-27T16:45:00Z,SSS039,S37,3.37,20.896,8.36,101.105,8.36
2022-07-27T17:00:00Z,SSS039,S37,3.37,20.829,8.337,100.723,8.337
2022-07-27T17:15:00Z,SSS039,S37,3.37,20.72,8.316,100.223,8.316
2022-07-27T17:30:00Z,SSS039,S37,3.38,20.586,8.314,99.934,8.314
2022-07-27T17:45:00Z,SSS039,S37,3.38,20.419,8.316,99.628,8.316
2022-07-27T18:00:00Z,SSS039,S37,3.38,20.269,8.338,99.569,8.338
2022-07-27T18:15:00Z,SSS039,S37,3.38,20.126,8.333,99.21,8.333
2022-07-27T18:30:00Z,SSS039,S37,3.38,19.976,8.345,99.072,8.345
2022-07-27T18:45:00Z,SSS039,S37,3.37,19.858,8.351,98.888,8.351
2022-07-27T19:00:00Z,SSS039,S37,3.38,19.733,8.348,98.586,8.348
2022-07-27T19:15:00Z,SSS039,S37,3.38,19.59,8.37,98.544,8.37
2022-07-27T19:30:00Z,SSS039,S37,3.38,19.465,8.363,98.236,8.363
2022-07-27T19:45:00Z,SSS039,S37,3.38,19.339,8.379,98.12,8.379
2022-07-27T20:00:00Z,SSS039,S37,3.38,19.222,8.379,97.908,8.379
2022-07-27T20:15:00Z,SSS039,S37,3.38,19.087,8.401,97.842,8.401
2022-07-27T20:30:00Z,SSS039,S37,3.38,18.987,8.419,97.837,8.419
2022-07-27T20:45:00Z,SSS039,S37,3.38,18.852,8.449,97.909,8.449
2022-07-27T21:00:00Z,SSS039,S37,3.38,18.76,8.452,97.786,8.452
2022-07-27T21:15:00Z,SSS039,S37,3.38,18.642,8.469,97.703,8.469
2022-07-27T21:30:00Z,SSS039,S37,3.38,18.525,8.507,97.933,8.507
2022-07-27T21:45:00Z,SSS039,S37,3.38,18.424,8.516,97.812,8.516
2022-07-27T22:00:00Z,SSS039,S37,3.38,18.323,8.55,98.048,8.55
2022-07-27T22:15:00Z,SSS039,S37,3.38,18.205,8.565,97.932,8.565
2022-07-27T22:30:00Z,SSS039,S37,3.38,18.095,8.59,97.948,8.59
2022-07-27T22:45:00Z,SSS039,S37,3.38,17.986,8.612,97.987,8.612
2022-07-27T23:00:00Z,SSS039,S37,3.38,17.893,8.624,97.939,8.624
2022-07-27T23:15:00Z,SSS039,S37,3.38,17.783,8.655,98.091,8.655
2022-07-27T23:30:00Z,SSS039,S37,3.38,17.699,8.662,98,8.662
2022-07-27T23:45:00Z,SSS039,S37,3.38,17.581,8.68,97.975,8.68
2022-07-28T00:00:00Z,SSS039,S37,3.38,17.471,8.711,98.015,8.711
2022-07-28T00:15:00Z,SSS039,S37,3.38,17.386,8.726,98.005,8.726
2022-07-28T00:30:00Z,SSS039,S37,3.38,17.302,8.73,97.87,8.73
2022-07-28T00:45:00Z,SSS039,S37,3.38,17.183,8.759,97.959,8.759
2022-07-28T01:00:00Z,SSS039,S37,3.38,17.107,8.779,98.023,8.779
2022-07-28T01:15:00Z,SSS039,S37,3.38,17.014,8.794,98.014,8.794
2022-07-28T01:30:00Z,SSS039,S37,3.38,16.912,8.817,98.043,8.817
2022-07-28T01:45:00Z,SSS039,S37,3.38,16.819,8.84,98.118,8.84
2022-07-28T02:00:00Z,SSS039,S37,3.38,16.734,8.843,98.004,8.843
2022-07-28T02:15:00Z,SSS039,S37,3.38,16.632,8.864,97.988,8.864
2022-07-28T02:30:00Z,SSS039,S37,3.38,16.564,8.884,98.075,8.884
