Parent_ID,Site_ID,daysofdata,ERdailymeanmean_gO2_per_m2day,GPPdailymeanmean_gO2_per_m2day,K600dailymeanmean_m_per_day,mean_depth_m,ERdailymeanmean_gO2_per_m3day,GPPdailymeanmean_gO2_per_m3day,K600vsERrsq,K600vsERp
SSS026,S36,31,-15.41329454,16.15453209,4.244792913,0.562162219,-27.41787695,28.73642437,0.285503871,0.001959346
SSS027,S32,31,-6.48207701,4.234772008,20.45464316,0.298898776,-21.68652914,14.16791353,0.703480223,3.82E-09
SSS028,S42,31,0.246913731,-0.2931863,0.205398482,0.141781991,1.741502783,-2.067867007,0.03067157,0.346019079
SSS029,S41R,31,-6.195874895,1.670257979,22.26970285,0.371739121,-16.66726621,4.493091751,2.91E-08,0.99927348
SSS030,S43,31,-5.716574749,5.660832583,10.14944731,0.321622797,-17.77415906,17.60084371,0.317679719,0.00096058
SSS031,S47R,31,-7.084128905,2.341915842,30.59250658,0.478029821,-14.81942881,4.899099885,0.657174558,3.23E-08
SSS032,C21,31,-2.533002493,0.24553146,18.31979398,0.284394813,-8.906640961,0.86334718,0.045578111,0.2488399
SSS033,S48R,26,-6.494650141,14.58565461,958.6859246,0.278673862,-23.30555901,52.33951433,0.086106986,0.145690912
SSS034,S18R,31,-6.753566328,2.625388094,81.3893672,0.540663078,-12.49126602,4.855867181,0.491830628,1.11E-05
SSS035,S17R,31,-6.584971178,1.322950238,29.33298954,0.426973518,-15.42243464,3.098436276,4.34E-06,0.991128954
SSS036,W10,31,-1.924294243,0.470795959,15.29181498,0.144215147,-13.3432187,3.264538914,0.083039528,0.115935808
SSS037,S39,31,-1.685012234,0.313513722,21.3596906,0.161843519,-10.41136677,1.937141035,0.006042489,0.677669201
SSS038,S38,29,-1.943892578,-0.137425116,4.064691651,0.104793122,-18.54981067,-1.311394423,0.142260488,0.043696363
SSS039,S37,31,-3.573981705,0.914994171,31.86142484,0.194375263,-18.38701927,4.707359144,0.944277959,9.91E-20
SSS040,S54,31,0.962007633,3.088580312,49.27875678,0.48366626,1.988990576,6.385767556,0.140840614,0.037491417
SSS041,S49R,31,-5.798942254,2.162559662,33.86151941,0.464311171,-12.48934469,4.657565437,0.612494787,1.97E-07
SSS042,S51,31,0.376785212,1.442213756,19.28371816,0.452906647,0.831926875,3.184351047,0.00142285,0.840338345
SSS043,S11,31,-7.689551836,1.942233076,26.54230468,0.506523307,-15.18104248,3.834439701,0.888205601,2.47E-15
SSS044,S02,31,-3.9356111,1.638615662,18.90613129,0.565182276,-6.963436876,2.899269372,0.02940651,0.356319596
SSS045,S01,31,-3.50596914,1.534003233,35.72772749,0.335902675,-10.43745524,4.566808619,0.159386956,0.026086217
SSS046,S22RR,31,-6.823338878,3.474787667,28.06495144,0.272466471,-25.04285702,12.75308354,0.599760875,3.18E-07
SSS047,S23,29,-6.672716681,1.584126589,8.443651381,1.101547025,-6.057586766,1.438092567,0.065222364,0.18118929
SSS048,S29,31,-1.669076859,0.745025283,20.24461586,0.229620258,-7.268857155,3.244597355,0.034921119,0.314124683
